rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
381,NO,,4,2023,"The Role of Mathematics in Data Science: Methods, Algorithms, and Computer Programs",https://doi.org/10.2174/9789815124842123010004,Rashmi Singh; Neha Bhardwaj; M N Islam,BENTHAM SCIENCE PUBLISHERS eBooks,No LE-discipline signals found.,openalex
382,NO,,4,2013,Adapting Smartphones as Learning Technology in a Korean University,,Juseuk Kim; Lynn Ilon; Jörn Altmann,RePEc: Research Papers in Economics,Engineering-education confusable phrasing; no LE venue/figure.,openalex
383,YES,,4,2023,ActiveAI: Introducing AI Literacy for Middle School Learners with Goal-based Scenario Learning,https://doi.org/10.48550/arxiv.2309.12337,Ying Jui Tseng; Gautam Ganapati Yadav,arXiv (Cornell University),Tseng & Yadav: 'The Learning Engineering Process (LEP) guided the project' — LE-framed.,openalex|semanticscholar
384,NO,,4,2020,Motivating Learners: A Primer for Engineering Teaching Assistants,https://doi.org/10.18260/1-2--21706,Ana Torres-Ayala; Geoffrey Herman,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
385,NO,,4,2018,An Analysis of Student Experiences with Concept Mapping in a Foundational Undergraduate Engineering Course,,Ning Fang,Digital Commons - USU (Utah State University),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
386,NO,,4,2016,Multi-Information Source Optimization,https://doi.org/10.48550/arxiv.1603.00389,Matthias Poloczek; Jialei Wang; Peter I. Frazier,arXiv (Cornell University),No LE-discipline signals found.,openalex
387,NO,,4,2015,DESIGN-FOR-MANUFACTURE OF SHEET-BULK METAL FORMED PARTS,,Thilo Breitsprecher; Christopher Sauer; Christian Sperber,,"SLASSY design-for-manufacture SBMF — manufacturing, not LE.",openalex|semanticscholar
388,YES,,4,2023,Scrutable AIED,https://doi.org/10.4337/9781800375413.00015,Judy Kay; Bob Kummerfeld; Cristina Conati,Edward Elgar Publishing eBooks,Kay/Kummerfeld/Conati 'Scrutable AIED' — 'scrutability should be integrated into the whole learning engineering enterprise'.,openalex
389,NO,,4,2021,Machine Learning with System/Software Engineering in Selection and Integration of Intelligent Algorithms,https://doi.org/10.1109/syscon48628.2021.9447111,Jasser Alharbi; Siddhartha Bhattacharyya,,No LE-discipline signals found.,openalex|semanticscholar
390,NO,,4,2021,Learning Methods on Environmental Education to Improve Pre-Service Teachers’ Environmental Literacy,https://doi.org/10.3375/jber.v2i2.4137,Febrianawati Yusup; Istiqomah Istiqomah; Khairunnisa Khairunnisa,Journal Of Biology Education Research (JBER),Engineering-education confusable phrasing; no LE venue/figure.,openalex
391,NO,,4,2023,Enhancing Product Development Skills of Engineering Students through Diversified Group Activities,https://doi.org/10.16920/jeet/2023/v37i1/23128,Rajendra Pawar; Satyajit R. Patil; Sushma S. Kulkarni,Journal of Engineering Education/Journal of engineering education transformations/Journal of engineering education transformation,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
392,NO,,4,2020,Developing rigor with Critical Discourse Analysis to examine educators’ transition toward active learning,https://doi.org/10.1016/j.procs.2020.05.007,Nor Farahwahidah Abd. Rahman; K. Mohd Yusof; Fatin Aliah Phang,Procedia Computer Science,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
393,NO,,4,2025,Emotions in Engineering Ethics Education: Systematic Review and Ways Forward,https://doi.org/10.1007/s11948-025-00543-2,Roland Tormey; Alberto Bellocchi; Pia Bøgelund,Science and Engineering Ethics,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
394,NO,,4,2015,Reaching Out to the Masses: Building Literacy About Engineering Amongst Non-engineering Students,https://doi.org/10.18260/p.24641,Jonathan Grunert; Peter E. Doolittle; Stephanie Adams,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
395,NO,,4,2020,Integrating Ethics Curriculum Within A Service Learning Design Context,https://doi.org/10.18260/1-2--16521,Craig Steven Titus; Carla Zoltowski; William Oakes,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
396,NO,,4,2000,Teaching Teachers To Apply Engineering: A Tale Of Two High School Classrooms,https://doi.org/10.18260/1-2--8759,Tracy L. Chandler; J. Petersen; J. Sharp,,No abstract and no LE signals in title/venue/authors.,semanticscholar
397,NO,,4,2017,Einsatz von Deep Learning zur ortsaufgelösten Beschreibung von Bauteilei-genschaften,,Sauer Christopher; Küstner Christof; Schleich Benjamin,,No abstract and no LE signals in title/venue/authors.,semanticscholar
398,NO,,4,2013,Developing design courses in a project-based curriculum,https://doi.org/10.18260/1-2--19411,Cyrus Habibi; R. Ulseth; M. Carlson,,No abstract and no LE signals in title/venue/authors.,semanticscholar
399,NO,,4,2018,Engineering Technology Students Response to Hands-on Fluid Power Exercises,,M. Shehadi; A. Lucietto,,No abstract and no LE signals in title/venue/authors.,semanticscholar
400,NO,,4,,Teaching and learning engineering design: creative methods for remote education,,,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
401,NO,,4,2007,"The Relationships of Spatial Experience, Previous Mathematics Achievement, and Gender with Perceived Ability in Learning Engineering Drawing",,Karen F. Zuga,,No abstract and no LE signals in title/venue/authors.,semanticscholar
402,NO,,4,2013,"Intelligent Information and Database Systems: 5th Asian Conference, ACIIDS 2013, Kuala Lumpur, Malaysia, March 18-20, 2013, Proceedings, Part I",,A. Selamat; N. Nguyen; H. Haron,,No abstract and no LE signals in title/venue/authors.,semanticscholar
403,NO,,4,2018,E-ENGINEERING: FROM CONCEPT TO REALITY,https://doi.org/10.21125/edulearn.2018.0406,M. Gericota; G. Andrieu; C. Dalmay,EDULEARN18 Proceedings,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
404,YES,,4,2019,PASTEL: Evidence-based Learning Engineering Method to Create Intelligent Online Textbook at Scale,,Noboru Matsuda; Machi Shimmei,iTextbooks@AIED,Matsuda & Shimmei PASTEL 'Evidence-based Learning Engineering Method' — LE-framed.,semanticscholar
405,NO,,4,2008,A New Look At Upper Level Mathematics Needs In Engineering Courses At Uab,https://doi.org/10.18260/1-2--4209,G. Janowski; M. Lalor; H. Moore,,No abstract and no LE signals in title/venue/authors.,semanticscholar
406,NO,,4,2014,Using Deficient Models as Scaffolds for Learning Engineering Concepts of Tradeoffs and Optimization,,C. Dasgupta; T. Moher,International Conference of the Learning Sciences,No abstract and no LE signals in title/venue/authors.,semanticscholar
407,NO,,4,2008,A Classroom/Distance Learning Engineering Course on Wireless Networking with Virtual Lab,,J. Agrawal; Y. Cherner,,No abstract and no LE signals in title/venue/authors.,semanticscholar
408,NO,,4,2003,Teaching how to engineer software,https://doi.org/10.1109/csee.2003.1191344,H. D. Rombach,"Proceedings 16th Conference on Software Engineering Education and Training, 2003. (CSEE&T 2003).",No abstract and no LE signals in title/venue/authors.,semanticscholar
409,YES,,3,2022,Learning Engineering is Engineering,https://doi.org/10.4324/9781003276579-8,Avron Barr; Brandt Dargue; Jim Goodell,,Barr/Dargue/Goodell LE Toolkit chapter 'Learning Engineering is Engineering'.,openalex
410,NO,,3,2019,Interactive Learning Engineering Concepts in AutomationML,https://doi.org/10.1109/etfa.2019.8869182,Yingbing Hua; Björn Hein,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
411,NO,,3,2021,Factors Affecting Women’s Choice of Learning Engineering and Technology Education in Ethiopia,https://doi.org/10.1109/access.2021.3087548,Addissie Melak; Seema Singh,IEEE Access,No LE-discipline signals found.,openalex|semanticscholar
412,YES,,3,2023,Designing a Student Progress Panel for Formative Practice: A Learning Engineering Process,https://doi.org/10.22318/icls2023.948456,Rachel Van Campenhout; Michelle Selinger; Bill Jerome,Proceedings.,Van Campenhout et al. 'using the learning engineering process model as the development framework'.,openalex|semanticscholar
413,NO,,3,2020,Case Study of a Blind Student Learning Engineering Graphics,https://doi.org/10.18260/1-2--30177,Steven Zemke,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
414,YES,,3,2022,What Does an Emerging Intelligence Augmentation Economy Mean for HF/E? Can Learning Engineering Help?,https://doi.org/10.1177/1071181322661283,Jim Goodell; Scotty D. Craig,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,Goodell & Craig propose 'the learning engineering process' for HFES.,openalex|semanticscholar
415,NO,,3,2021,Teaching and Learning Engineering Mathematics by Project Based Learning Method,https://doi.org/10.11113/ajee2020.4n1.18,Rashmi Rani; P. Rajesh Kanna; Amer Abdelaal,Asean Journal of Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
416,NO,,3,1998,Content Analysis of Web Pages for Distance Learning Engineering Programs,,Nestor Osorio,E-LIS Repository (University of Naples Federico II),No LE-discipline signals found.,openalex|semanticscholar
417,NO,,3,1998,"Integrated learning: engineering science, English, and orientation",https://doi.org/10.1109/fie.1998.736905,R. Bennet; W.C. Beston; Martina Dickson,,No LE-discipline signals found.,openalex|semanticscholar
418,ADJACENT,,3,1997,What we know about learning [engineering education],https://doi.org/10.1109/fie.1997.635911,Herbert A. Simon,,Simon 1997 'What we know about learning [engineering education]' — early cognitive-science-for-EngEd; ancestor but not ICICLE-LE.,openalex|semanticscholar
419,NO,,3,2016,MODERN OR TRADITIONAL TEACHING STRATEGY IN LEARNING ENGINEERING MATHEMATICS COURSE,,Noorhelyna Razali; Hidayatulfathi Othman; Nuryazmin Ahmat Zainuri,SHILAP Revista de lepidopterología,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
420,NO,,3,2018,Motivating students to avoid academic dishonesty in learning engineering courses,https://doi.org/10.1109/educon.2018.8363389,Zoja Raud; Valery Vodovozov; Aleksandr Serbin,,Raud motivation to avoid dishonesty 'in learning engineering courses' — EngEd ethics.,openalex|semanticscholar
421,NO,,3,2024,VR Lab: An Engaging Way for Learning Engineering and Material Science,https://doi.org/10.1007/978-3-031-52075-4_44,Beatrice Aruanno; Francesco Tamburrino; Paolo Neri,Lecture notes in mechanical engineering,Engineering-education venue (engineering-ed confusable).,openalex
422,ADJACENT,,3,2010,E-learning engineering in the Web 2.0 era,https://doi.org/10.1109/icetc.2010.5529483,Stephanos Mavromoustakos; Κaterina Papanikolaou,,Mavromoustakos 'E-learning engineering in the Web 2.0 era' — adjacent e-learning-engineering tradition.,openalex|semanticscholar
423,NO,,3,2014,Using Deficient Models as Scaffolds for Learning Engineering Concepts of Tradeoffs and Optimization.,,Chandan Dasgupta; Tom Moher,ICLS,No abstract and no LE signals in title/venue/authors.,openalex
424,NO,,3,2015,Engineering Your Community: Experiences of Students in a Service-Learning Engineering Design Course,https://doi.org/10.18260/p.23987,Gregory Bucks; Kathleen Ossman; Tony Bailey,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
425,NO,,3,2018,Assessing the Development of Student Outcomes in Project-based Learning Engineering Design and Entrepreneurship Courses,https://doi.org/10.1109/fie.2018.8658841,Prateek Shekhar; Cassandra Woodcock; Aileen Huang-Saad,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
426,NO,,3,2024,Empowering Students in Learning Engineering and Design: Ethical and Transformative Pedagogy for a Socially Conscious Future,https://doi.org/10.22318/icls2024.647082,Greses Pérez; Brian Gravel; Trevion Henderson,Proceedings.,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
427,NO,,3,2014,Identifying potential misfit items in cognitive process of learning engineering mathematics based on Rasch model,https://doi.org/10.1088/1742-6596/495/1/012026,Sh Ataei; Zamalia Mahmud; Mastura Khalid,Journal of Physics Conference Series,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
428,NO,,3,2020,"Early work for the Mathematics as a Gatekeeper to Engineering Project: A Review of Informal Learning, Engineering and Design Thinking Literature",https://doi.org/10.18260/1-2--19460,DeLean Tolbert; Monica Cardella,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
429,NO,,3,2017,Methodology of problem-based learning engineering and technology and of its implementation with modern computer resources,https://doi.org/10.1063/1.4972430,A.A. Lebedev; Elissaveta Ivanova; V. A. Komleva,AIP conference proceedings,No LE-discipline signals found.,openalex|semanticscholar
430,NO,,3,2020,"First Learning, then Lifelong Learning: Engineering Study Abroad to Increase Access and Retention among Minorities and Under-represented Groups",https://doi.org/10.18260/1-2--17141,Monica Gray; Constance Lundy,,Gray & Lundy study-abroad engineering pipeline — EngEd pipeline.,openalex|semanticscholar
431,NO,,3,2014,The Effects of Diagnosis on Learning Engineering Graphics and Design in a First Year University Degree Course in South Africa,https://doi.org/10.20533/ijtie.2047.0533.2014.0046,Samuel Khoza,International Journal of Technology and Inclusive Education,No LE-discipline signals found.,openalex|semanticscholar
